"","observed_on","quality_grade","place_admin1_name","taxon_species_name","taxon_kingdom_name","taxon_phylum_name","taxon_class_name","taxon_order_name","taxon_family_name","taxon_genus_name","scientific_name","geometry"
"108",2018-10-02,"research","Río Negro","Vachellia caven","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Vachellia","Vachellia caven",c(400767.226433472, 6400367.96524795)
"109",2017-10-27,"research","San José","Vicia benghalensis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Vicia","Vicia benghalensis",c(528265.825694227, 6220335.2691653)
"110",2019-03-26,"research","Río Negro","Chaptalia piloselloides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Chaptalia","Chaptalia piloselloides",c(402436.716984693, 6401069.88266269)
"111",2018-09-16,"research","Río Negro","Trixis praestans","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Trixis","Trixis praestans",c(402491.751626273, 6400637.704516)
"112",2018-08-29,"research","Soriano","Acacia dealbata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Acacia dealbata",c(484611.634182995, 6333943.46254106)
"113",2018-07-11,"research","Río Negro","Taraxacum officinale","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Taraxacum","Taraxacum officinale",c(402500.039156183, 6400537.44793262)
"114",2018-03-29,"research","Río Negro","Chromolaena ivifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Chromolaena","Chromolaena ivifolia",c(401176.466337823, 6401673.08017751)
"115",2018-03-29,"research","Río Negro","Solidago chilensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Solidago","Solidago chilensis",c(400918.041118752, 6401472.8065117)
"116",2018-03-29,"research","Río Negro","Pterocaulon polystachyum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Pterocaulon","Pterocaulon polystachyum",c(400965.635893484, 6401540.72372586)
"117",2018-03-13,"research","Río Negro","Chromolaena hirsuta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Chromolaena","Chromolaena hirsuta",c(402552.276125125, 6401066.43685678)
"118",2019-03-26,"research","Río Negro","Bidens subalternans","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Bidens","Bidens subalternans",c(400302.366659794, 6401014.89460365)
"119",2019-02-28,"research","Montevideo","Arctium minus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Arctium","Arctium minus",c(561251.909143872, 6149955.56724169)
"120",2019-03-26,"research","Río Negro","Jaborosa runcinata","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Jaborosa","Jaborosa runcinata",c(401102.421175065, 6400690.03694465)
"121",2018-02-09,"research","Río Negro","Prosopis affinis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Prosopis","Prosopis affinis",c(402693.473199616, 6400552.45060139)
"122",2019-03-28,"research","Colonia","Trifolium pratense","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium","Trifolium pratense",c(422385.60015522, 6187594.95819222)
"123",2019-03-28,"research","Río Negro","Austroeupatorium inulifolium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Austroeupatorium","Austroeupatorium inulifolium",c(402546.717045966, 6400459.0002101)
"124",2019-03-29,"research","Río Negro","Camptosema rubicundum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Camptosema","Camptosema rubicundum",c(402455.343847334, 6400438.15320052)
"125",2018-02-07,"research","Río Negro","Solanum sisymbriifolium","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Solanum","Solanum sisymbriifolium",c(400832.229675817, 6400337.19640721)
"126",2018-01-28,"research","Río Negro","Cestrum parqui","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Cestrum","Cestrum parqui",c(402579.639855276, 6400426.61418273)
"127",2018-01-01,"research","Río Negro","Holocheilus hieracioides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Holocheilus","Holocheilus hieracioides",c(402081.192188522, 6402200.28846292)
"128",2017-12-28,"research","Río Negro","Arctium minus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Arctium","Arctium minus",c(402184.943710496, 6399968.1955514)
"129",2019-03-30,"research","Río Negro","Senna corymbosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Senna","Senna corymbosa",c(403419.015350571, 6400474.48021881)
"130",2019-03-30,"research","Soriano","Chrysolaena flexuosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Chrysolaena","Chrysolaena flexuosa",c(484614.183826579, 6333973.03000352)
"131",2019-03-25,"research","Soriano","Lessingianthus plantaginodes","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Lessingianthus","Lessingianthus plantaginodes",c(484607.72006936, 6333961.00968393)
"132",2017-10-25,"research","Río Negro","Senecio bonariensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Senecio","Senecio bonariensis",c(400941.539586819, 6400759.58749424)
"133",2017-10-16,"research","Río Negro","Senecio pterophorus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Senecio","Senecio pterophorus",c(402244.801255408, 6401933.02796811)
"134",2017-10-05,"research","Río Negro","Solanum laxum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","Solanum","Solanum laxum",c(402930.722565446, 6400920.99499712)
"135",2017-09-13,"research","Montevideo","Lupinus bracteolaris","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus","Lupinus bracteolaris",c(585939.449007697, 6138261.7040356)
